"oy_0.9","oy_0.8","oy_0.7","or_0.9","or_0.8","or_0.7","of_0.9","of_0.8","of_0.7","escapement"
0,0,0,0,0,0,1,1,1,0
0,0,0,0,0.000417,0.001167,1,1,1,5000
0,0,0,0.035917,0.089083,0.22475,1,1,1,10000
0,0,0.01175,0.332333,0.5435,0.753417,1,1,0.98825,15000
0.000083,0.032583,0.327167,0.719917,0.86125,0.942333,0.999917,0.967417,0.672833,20000
0.022083,0.325917,0.713083,0.902917,0.9595,0.984167,0.977917,0.674083,0.286917,25000
0.211333,0.655,0.889167,0.966,0.98575,0.994,0.788667,0.345,0.110833,30000
0.50175,0.839167,0.953167,0.98575,0.9935,0.997167,0.49825,0.160833,0.046833,35000
0.717417,0.92375,0.977083,0.99325,0.99675,0.998583,0.282583,0.07625,0.022917,40000
0.847583,0.959167,0.98775,0.995917,0.998083,0.999333,0.152417,0.040833,0.01225,45000
0.914167,0.977167,0.992583,0.997667,0.999167,0.999583,0.085333,0.022833,0.007417,50000
0.944583,0.986417,0.995417,0.998583,0.9995,0.999667,0.048833,0.013583,0.004583,55000
0.934167,0.99,0.996417,0.999333,0.999583,0.999833,0.031417,0.008833,0.003583,60000
0.878167,0.9855,0.99675,0.9995,0.999667,0.999917,0.020083,0.005667,0.002833,65000
0.763833,0.956833,0.993583,0.999583,0.999833,0.999917,0.013667,0.004083,0.002333,70000
0.636583,0.894833,0.978833,0.999667,0.999917,0.999917,0.0095,0.003583,0.001583,75000
0.50875,0.793167,0.942417,0.999833,0.999917,1,0.006917,0.002917,0.001167,80000
0.39675,0.676833,0.875583,0.999917,0.999917,1,0.005167,0.0025,0.000917,85000
0.306583,0.557083,0.7735,0.999917,0.999917,1,0.004,0.002083,0.000667,90000
0.233833,0.452083,0.667083,0.999917,1,1,0.003583,0.0015,0.000333,95000
0.175917,0.363667,0.559583,0.999917,1,1,0.003167,0.001167,0.000167,100000
0.133833,0.288083,0.46225,0.999333,1,1,0.002667,0.000917,0.000167,105000
0.102667,0.227,0.37875,0.997917,0.999917,1,0.0025,0.000833,0.000167,110000
0.079917,0.17725,0.30875,0.994833,0.999083,1,0.002,0.000667,0.000167,115000
0.061167,0.139167,0.249083,0.988083,0.996917,0.999667,0.001583,0.000333,0.000167,120000
0.048333,0.11125,0.198833,0.9795,0.993083,0.998417,0.001167,0.000167,0.000167,125000
0.040417,0.08975,0.160583,0.967583,0.98725,0.9965,0.001,0.000167,0.000167,130000
0.032667,0.07075,0.129417,0.947667,0.977917,0.992167,0.000833,0.000167,0.000167,135000
0.026,0.056417,0.104417,0.921,0.965667,0.987,0.000833,0.000167,0.000167,140000
0.02175,0.046583,0.086667,0.888417,0.9455,0.978417,0.000667,0.000167,0.000167,145000
0.0185,0.039917,0.069917,0.850167,0.9215,0.966417,0.000333,0.000167,0.000083,150000
0.0155,0.033083,0.057167,0.8075,0.8925,0.947833,0.00025,0.000167,0.000083,155000
0.012833,0.02675,0.0475,0.759833,0.85525,0.927,0.000167,0.000167,0.000083,160000
0.010833,0.023167,0.041333,0.7105,0.8175,0.90125,0.000167,0.000167,0.000083,165000
0.009083,0.019667,0.03575,0.662333,0.772583,0.86775,0.000167,0.000167,0,170000
0.008167,0.017,0.028333,0.61775,0.7265,0.832583,0.000167,0.000167,0,175000
0.007,0.014917,0.024833,0.5715,0.681083,0.79125,0.000167,0.000167,0,180000
0.006,0.012333,0.021833,0.52625,0.638333,0.746167,0.000167,0.000167,0,185000
0.005333,0.01075,0.018917,0.483417,0.594583,0.7065,0.000167,0.000083,0,190000
0.004667,0.009167,0.016417,0.442583,0.550333,0.664083,0.000167,0.000083,0,195000
0.004417,0.008167,0.0145,0.405333,0.509667,0.6255,0.000167,0.000083,0,200000
0.003833,0.007167,0.012583,0.372917,0.469583,0.58275,0.000167,0.000083,0,205000
0.0035,0.0065,0.010833,0.340833,0.432333,0.542417,0.000167,0.000083,0,210000
0.003333,0.005833,0.009417,0.312833,0.399333,0.5045,0.000167,0,0,215000
0.003167,0.00525,0.008417,0.285417,0.36825,0.467917,0.000167,0,0,220000
0.003,0.004667,0.007667,0.26175,0.339083,0.431417,0.000167,0,0,225000
0.00275,0.004583,0.006833,0.23875,0.311667,0.4005,0.000167,0,0,230000
0.0025,0.004,0.006083,0.217583,0.286917,0.372167,0.000167,0,0,235000
0.002417,0.003667,0.005583,0.198,0.263667,0.34275,0.000083,0,0,240000
0.002417,0.0035,0.005083,0.181583,0.24125,0.317,0.000083,0,0,245000
0.00225,0.003417,0.004667,0.165,0.221,0.293583,0.000083,0,0,250000
0.001917,0.00325,0.004583,0.152083,0.203417,0.273,0.000083,0,0,255000
0.00175,0.003,0.004083,0.138583,0.186583,0.250667,0.000083,0,0,260000
0.00175,0.002833,0.00375,0.127,0.1705,0.230917,0.000083,0,0,265000
0.001667,0.002667,0.0035,0.11675,0.157583,0.211417,0,0,0,270000
0.0015,0.0025,0.003417,0.1065,0.145,0.1965,0,0,0,275000
0.00125,0.0025,0.00325,0.097083,0.133333,0.179833,0,0,0,280000
0.001167,0.002333,0.003083,0.089167,0.123167,0.167,0,0,0,285000
0.001167,0.002083,0.002833,0.08325,0.113167,0.154333,0,0,0,290000
0.001083,0.001833,0.00275,0.0765,0.104167,0.14225,0,0,0,295000
0.000917,0.001833,0.002667,0.070167,0.095083,0.131833,0,0,0,300000
0.000833,0.00175,0.0025,0.0655,0.088417,0.122,0,0,0,305000
0.000833,0.001583,0.0025,0.060417,0.082083,0.113,0,0,0,310000
0.00075,0.0015,0.002333,0.055,0.0755,0.104583,0,0,0,315000
0.00075,0.00125,0.002083,0.051583,0.069583,0.096667,0,0,0,320000
0.000667,0.001167,0.001833,0.048583,0.06525,0.089833,0,0,0,325000
0.000667,0.001167,0.001833,0.045167,0.060417,0.083333,0,0,0,330000
0.000667,0.001167,0.00175,0.04225,0.0565,0.076583,0,0,0,335000
0.000333,0.001,0.001667,0.03925,0.051833,0.07125,0,0,0,340000
0.000333,0.000833,0.0015,0.035833,0.049083,0.067167,0,0,0,345000
0.000167,0.000833,0.001333,0.033917,0.04625,0.062667,0,0,0,350000
0.000167,0.000833,0.001167,0.032083,0.043417,0.058333,0,0,0,355000
0.000167,0.00075,0.001167,0.03075,0.040167,0.054,0,0,0,360000
0.000167,0.00075,0.001167,0.0285,0.03775,0.051333,0,0,0,365000
0.000167,0.00075,0.001167,0.026417,0.034917,0.048,0,0,0,370000
0.000167,0.000667,0.001,0.0255,0.033417,0.0455,0,0,0,375000
0.000167,0.000667,0.000917,0.023917,0.03125,0.04275,0,0,0,380000
0.000167,0.000583,0.000833,0.02275,0.029917,0.03975,0,0,0,385000
0.000167,0.000333,0.000833,0.021333,0.02775,0.037417,0,0,0,390000
0.000167,0.000333,0.00075,0.020167,0.026083,0.035167,0,0,0,395000
0.000167,0.00025,0.00075,0.01875,0.025333,0.033583,0,0,0,400000
0.000167,0.000167,0.00075,0.017917,0.023917,0.031583,0,0,0,405000
0.000167,0.000167,0.000667,0.01675,0.022833,0.03,0,0,0,410000
0.000167,0.000167,0.000667,0.015667,0.021333,0.027917,0,0,0,415000
0.000167,0.000167,0.000667,0.0145,0.02025,0.026667,0,0,0,420000
0.000167,0.000167,0.000583,0.013583,0.019,0.0255,0,0,0,425000
0.000167,0.000167,0.0005,0.01275,0.017833,0.024417,0,0,0,430000
0.000167,0.000167,0.000333,0.011833,0.017,0.023333,0,0,0,435000
0.000167,0.000167,0.00025,0.011333,0.016167,0.02225,0,0,0,440000
0.000167,0.000167,0.000167,0.010833,0.015167,0.021167,0,0,0,445000
0.000167,0.000167,0.000167,0.010417,0.014167,0.019667,0,0,0,450000
0.000167,0.000167,0.000167,0.010083,0.013167,0.018417,0,0,0,455000
0.000167,0.000167,0.000167,0.009583,0.0125,0.01775,0,0,0,460000
0.000167,0.000167,0.000167,0.009167,0.011833,0.01675,0,0,0,465000
0.000167,0.000167,0.000167,0.008917,0.011083,0.01575,0,0,0,470000
0.000167,0.000167,0.000167,0.0085,0.0105,0.015,0,0,0,475000
0.000167,0.000167,0.000167,0.008,0.01025,0.014167,0,0,0,480000
0.000167,0.000167,0.000167,0.007583,0.009833,0.01325,0,0,0,485000
0.000167,0.000167,0.000167,0.007333,0.009417,0.012583,0,0,0,490000
0.000167,0.000167,0.000167,0.007083,0.009083,0.012,0,0,0,495000
0.000167,0.000167,0.000167,0.00675,0.008833,0.01125,0,0,0,500000
0.000167,0.000167,0.000167,0.006583,0.0085,0.010667,0,0,0,505000
0.000167,0.000167,0.000167,0.006333,0.008,0.010333,0,0,0,510000
0.000167,0.000167,0.000167,0.006167,0.007583,0.00975,0,0,0,515000
0.000167,0.000167,0.000167,0.006167,0.007583,0.009583,0,0,0,520000
0.000167,0.000167,0.000167,0.00575,0.007167,0.00925,0,0,0,525000
0.000167,0.000167,0.000167,0.005417,0.006667,0.009,0,0,0,530000
0.000083,0.000167,0.000167,0.005333,0.0065,0.008667,0,0,0,535000
0.000083,0.000167,0.000167,0.005083,0.006417,0.00825,0,0,0,540000
0.000083,0.000167,0.000167,0.00475,0.006333,0.007917,0,0,0,545000
0.000083,0.000167,0.000167,0.004167,0.006083,0.007583,0,0,0,550000
0.000083,0.000167,0.000167,0.004083,0.005917,0.0075,0,0,0,555000
0.000083,0.000167,0.000167,0.004083,0.0055,0.007167,0,0,0,560000
0.000083,0.000167,0.000167,0.003917,0.005417,0.006583,0,0,0,565000
0.000083,0.000167,0.000167,0.003917,0.00525,0.006417,0,0,0,570000
0.000083,0.000167,0.000167,0.003833,0.004917,0.006417,0,0,0,575000
0.000083,0.000167,0.000167,0.00375,0.004667,0.006333,0,0,0,580000
0.000083,0.000167,0.000167,0.00375,0.00425,0.006167,0,0,0,585000
0.000083,0.000167,0.000167,0.00375,0.004083,0.005833,0,0,0,590000
0.000083,0.000167,0.000167,0.003667,0.004,0.005583,0,0,0,595000
0.000083,0.000167,0.000167,0.003583,0.004,0.005417,0,0,0,600000
0,0.000167,0.000167,0.003417,0.003917,0.00525,0,0,0,605000
0,0.000083,0.000167,0.003333,0.003917,0.005083,0,0,0,610000
0,0.000083,0.000167,0.003333,0.003833,0.004917,0,0,0,615000
0,0.000083,0.000167,0.00325,0.003833,0.004417,0,0,0,620000
0,0.000083,0.000167,0.003167,0.00375,0.00425,0,0,0,625000
0,0.000083,0.000167,0.003083,0.003667,0.00425,0,0,0,630000
0,0.000083,0.000167,0.002917,0.003583,0.004,0,0,0,635000
0,0.000083,0.000167,0.002917,0.003417,0.004,0,0,0,640000
0,0.000083,0.000167,0.002917,0.003333,0.004,0,0,0,645000
0,0.000083,0.000167,0.00275,0.003333,0.003917,0,0,0,650000
0,0.000083,0.000167,0.00275,0.003333,0.003833,0,0,0,655000
0,0.000083,0.000167,0.002667,0.003333,0.003833,0,0,0,660000
0,0.000083,0.000167,0.0025,0.00325,0.003833,0,0,0,665000
0,0.000083,0.000083,0.0025,0.002917,0.003583,0,0,0,670000
0,0.000083,0.000083,0.0025,0.002917,0.003417,0,0,0,675000
0,0.000083,0.000083,0.0025,0.002917,0.003417,0,0,0,680000
0,0.000083,0.000083,0.002417,0.002917,0.003417,0,0,0,685000
0,0.000083,0.000083,0.002417,0.00275,0.003333,0,0,0,690000
0,0,0.000083,0.002333,0.00275,0.003333,0,0,0,695000
0,0,0.000083,0.00225,0.002667,0.003333,0,0,0,700000
0,0,0.000083,0.00225,0.0025,0.003333,0,0,0,705000
0,0,0.000083,0.00225,0.0025,0.003083,0,0,0,710000
0,0,0.000083,0.00225,0.0025,0.002917,0,0,0,715000
0,0,0.000083,0.00225,0.0025,0.002917,0,0,0,720000
0,0,0.000083,0.00225,0.0025,0.002917,0,0,0,725000
0,0,0.000083,0.002167,0.002417,0.002917,0,0,0,730000
0,0,0.000083,0.002167,0.002417,0.00275,0,0,0,735000
0,0,0.000083,0.002,0.002333,0.002667,0,0,0,740000
0,0,0.000083,0.00175,0.002333,0.002583,0,0,0,745000
0,0,0.000083,0.001667,0.002333,0.0025,0,0,0,750000
0,0,0.000083,0.001667,0.00225,0.0025,0,0,0,755000
0,0,0.000083,0.001667,0.00225,0.0025,0,0,0,760000
0,0,0,0.001583,0.00225,0.0025,0,0,0,765000
0,0,0,0.001583,0.00225,0.0025,0,0,0,770000
0,0,0,0.001583,0.002167,0.0025,0,0,0,775000
0,0,0,0.001583,0.002167,0.002417,0,0,0,780000
0,0,0,0.001583,0.001833,0.002333,0,0,0,785000
0,0,0,0.001583,0.001833,0.002333,0,0,0,790000
0,0,0,0.001583,0.00175,0.002333,0,0,0,795000
0,0,0,0.001417,0.001667,0.002333,0,0,0,800000
0,0,0,0.001417,0.001667,0.002333,0,0,0,805000
0,0,0,0.001417,0.001583,0.002333,0,0,0,810000
0,0,0,0.001333,0.001583,0.00225,0,0,0,815000
0,0,0,0.00125,0.001583,0.00225,0,0,0,820000
0,0,0,0.00125,0.001583,0.002167,0,0,0,825000
0,0,0,0.00125,0.001583,0.002,0,0,0,830000
0,0,0,0.001167,0.001583,0.002,0,0,0,835000
0,0,0,0.001167,0.0015,0.001833,0,0,0,840000
0,0,0,0.001,0.0015,0.001833,0,0,0,845000
0,0,0,0.001,0.001417,0.00175,0,0,0,850000
0,0,0,0.001,0.001417,0.001667,0,0,0,855000
0,0,0,0.001,0.001417,0.001583,0,0,0,860000
0,0,0,0.001,0.001417,0.001583,0,0,0,865000
0,0,0,0.001,0.001333,0.001583,0,0,0,870000
0,0,0,0.001,0.001167,0.001583,0,0,0,875000
0,0,0,0.000917,0.001167,0.001583,0,0,0,880000
0,0,0,0.000917,0.001167,0.001583,0,0,0,885000
0,0,0,0.000833,0.001167,0.0015,0,0,0,890000
0,0,0,0.000833,0.001083,0.0015,0,0,0,895000
0,0,0,0.000833,0.001,0.001417,0,0,0,900000
0,0,0,0.000833,0.001,0.001417,0,0,0,905000
0,0,0,0.00075,0.001,0.001417,0,0,0,910000
0,0,0,0.00075,0.001,0.001417,0,0,0,915000
0,0,0,0.00075,0.001,0.001333,0,0,0,920000
0,0,0,0.000667,0.001,0.001333,0,0,0,925000
0,0,0,0.000667,0.000917,0.00125,0,0,0,930000
0,0,0,0.000667,0.000833,0.00125,0,0,0,935000
0,0,0,0.000667,0.000833,0.001167,0,0,0,940000
0,0,0,0.000667,0.000833,0.001167,0,0,0,945000
0,0,0,0.000583,0.000833,0.001083,0,0,0,950000
0,0,0,0.0005,0.000833,0.001,0,0,0,955000
0,0,0,0.0005,0.00075,0.001,0,0,0,960000
0,0,0,0.0005,0.00075,0.001,0,0,0,965000
0,0,0,0.0005,0.00075,0.001,0,0,0,970000
0,0,0,0.0005,0.00075,0.000917,0,0,0,975000
0,0,0,0.0005,0.00075,0.000917,0,0,0,980000
0,0,0,0.0005,0.000667,0.000917,0,0,0,985000
0,0,0,0.0005,0.000667,0.000917,0,0,0,990000
